Date,open,high,low,close,volume
01-11-99,3.403,3.594,3.3155,3.4565,256482000.0
02-11-99,3.4875,3.5,3.253,3.322,264864000.0
03-11-99,3.4095,3.425,3.25,3.2905,215442000.0
04-11-99,3.3595,3.3595,3.05,3.153,335184000.0
05-11-99,3.2375,3.275,3.1125,3.247,221828000.0
08-11-99,3.2405,4.0,3.175,3.9,646788000.0
09-11-99,4.044,4.153,3.5,3.5405,529542000.0
10-11-99,3.578,3.75,3.5065,3.6,230134000.0
11-11-99,3.7375,3.75,3.569,3.65,185878000.0
12-11-99,3.6875,3.75,3.5405,3.747,206392000.0
15-11-99,3.7815,3.8,3.6655,3.675,128744000.0
16-11-99,3.7125,3.9815,3.6875,3.947,304774000.0
17-11-99,3.897,4.0,3.772,3.825,133148000.0
18-11-99,3.8375,3.9095,3.7625,3.897,116208000.0
19-11-99,3.894,3.9065,3.803,3.897,115212000.0
22-11-99,3.894,4.125,3.8,4.025,214168000.0
23-11-99,4.019,4.2815,3.8125,4.0875,366650000.0
24-11-99,4.2125,4.3875,4.1625,4.3625,289662000.0
26-11-99,4.553,4.7565,4.525,4.6565,229920000.0
29-11-99,4.775,4.844,4.5065,4.522,361074000.0
30-11-99,4.4135,4.444,4.1905,4.253,269310000.0
01-12-99,4.3625,4.3815,4.0985,4.25,213272000.0
02-12-99,4.3,4.5655,4.2815,4.453,190774000.0
03-12-99,4.625,4.669,4.303,4.328,223024000.0
06-12-99,4.344,4.494,4.2345,4.369,183984000.0
07-12-99,4.4,4.4,4.219,4.303,134542000.0
08-12-99,4.3405,4.65,4.3375,4.4,257344000.0
09-12-99,4.7625,5.65,4.672,5.18,827292000.0
10-12-99,5.57,5.6,5.22,5.335,298580000.0
13-12-99,5.33,5.33,5.075,5.125,173074000.0
14-12-99,5.19,5.2,4.75,4.7815,202158000.0
15-12-99,4.644,4.972,4.55,4.825,202670000.0
16-12-99,4.9125,4.9375,4.675,4.744,140088000.0
17-12-99,4.8595,4.8815,4.6905,4.703,119118000.0
20-12-99,4.8875,5.08,4.753,4.85,211332000.0
21-12-99,4.828,5.02,4.828,4.994,190190000.0
22-12-99,5.03,5.03,4.775,4.8845,118420000.0
23-12-99,4.9,4.95,4.453,4.5,258292000.0
27-12-99,4.3875,4.4125,4.0065,4.0565,330476000.0
28-12-99,4.153,4.325,4.078,4.1155,206086000.0
29-12-99,4.172,4.269,4.1315,4.175,118260000.0
30-12-99,4.2315,4.2565,3.925,3.953,185132000.0
31-12-99,3.9655,3.969,3.8,3.8065,145414000.0
03-01-00,4.075,4.478,4.0,4.469,322352000.0
04-01-00,4.269,4.575,4.0875,4.097,349748000.0
05-01-00,3.5375,3.7565,3.4815,3.5875,769148000.0
06-01-00,3.5655,3.6345,3.2,3.278,375040000.0
07-01-00,3.35,3.525,3.3095,3.478,210108000.0
10-01-00,3.628,3.6315,3.278,3.4595,295158000.0
11-01-00,3.344,3.5,3.25,3.3375,210654000.0
12-01-00,3.394,3.4,3.15,3.178,216090000.0
13-01-00,3.247,3.3595,3.1565,3.297,208962000.0
14-01-00,3.3375,3.425,3.2,3.2125,137072000.0
18-01-00,3.172,3.2595,3.15,3.2065,107698000.0
19-01-00,3.2065,3.375,3.15,3.3405,164910000.0
20-01-00,3.347,3.35,3.197,3.2375,119560000.0
21-01-00,3.2315,3.2315,3.0,3.103,229238000.0
24-01-00,3.378,3.669,3.375,3.5065,583404000.0
25-01-00,3.5,3.5625,3.3,3.4625,188682000.0
