Date,30-Day YZ-HV
2021-01-12,23.78
2021-01-13,23.59
2021-01-14,23.25
2021-01-15,22.97
2021-01-19,23.02
2021-01-20,24.42
2021-01-21,24.88
2021-01-22,24.99
2021-01-25,26.56
2021-01-26,26.11
2021-01-27,26.02
2021-01-28,26.31
2021-01-29,26.41
2021-02-01,27.10
2021-02-02,27.08
2021-02-03,26.70
2021-02-04,26.89
2021-02-05,25.17
2021-02-08,25.23
2021-02-09,24.90
2021-02-10,24.64
2021-02-11,24.42
2021-02-12,24.33
2021-02-16,25.14
2021-02-17,24.84
2021-02-18,25.14
2021-02-19,24.06
2021-02-22,24.78
2021-02-23,26.02
2021-02-24,24.89
2021-02-25,26.14
2021-02-26,26.28
2021-03-01,26.53
2021-03-02,26.31
2021-03-03,26.28
2021-03-04,26.78
2021-03-05,29.20
2021-03-08,30.17
2021-03-09,31.15
2021-03-10,31.75
2021-03-11,32.20
2021-03-12,32.49
2021-03-15,33.43
2021-03-16,32.93
2021-03-17,32.97
2021-03-18,33.16
2021-03-19,33.18
2021-03-22,33.71
2021-03-23,33.35
2021-03-24,32.98
2021-03-25,32.04
2021-03-26,32.08
2021-03-29,31.00
2021-03-30,30.46
2021-03-31,30.30
2021-04-01,30.10
2021-04-05,26.33
2021-04-06,25.82
2021-04-07,24.83
2021-04-08,23.31
2021-04-09,22.58
2021-04-12,21.60
2021-04-13,21.39
2021-04-14,21.11
2021-04-15,21.14
2021-04-16,20.13
2021-04-19,19.85
2021-04-20,19.82
2021-04-21,19.76
2021-04-22,19.37
2021-04-23,19.46
2021-04-26,18.92
2021-04-27,19.09
2021-04-28,19.04
2021-04-29,19.77
2021-04-30,20.52
2021-05-03,21.09
2021-05-04,21.95
2021-05-05,22.08
2021-05-06,22.35
2021-05-07,21.90
2021-05-10,22.03
2021-05-11,23.44
2021-05-12,24.11
2021-05-13,24.53
2021-05-14,24.57
2021-05-17,24.87
2021-05-18,24.72
2021-05-19,24.76
2021-05-20,24.53
2021-05-21,24.31
2021-05-24,24.45
2021-05-25,24.44
2021-05-26,23.91
2021-05-27,23.58
2021-05-28,23.19
2021-06-01,21.90
2021-06-02,21.37
2021-06-03,20.52
2021-06-04,20.01
2021-06-07,20.07
2021-06-08,20.08
2021-06-09,19.78
2021-06-10,17.87
2021-06-11,16.54
2021-06-14,15.84
2021-06-15,15.64
2021-06-16,15.67
2021-06-17,15.48
2021-06-18,14.77
2021-06-21,15.04
2021-06-22,15.11
2021-06-23,15.03
2021-06-24,14.99
2021-06-25,15.11
2021-06-28,15.33
2021-06-29,15.13
2021-06-30,15.08
2021-07-01,15.05
2021-07-02,15.43
2021-07-06,16.17
2021-07-07,16.62
2021-07-08,18.41
2021-07-09,18.62
2021-07-12,19.30
2021-07-13,20.28
2021-07-14,20.62
2021-07-15,20.83
2021-07-16,20.71
2021-07-19,21.38
2021-07-20,21.53
2021-07-21,21.53
2021-07-22,21.35
2021-07-23,21.36
2021-07-26,21.24
2021-07-27,21.77
2021-07-28,21.98
2021-07-29,22.14
2021-07-30,33.85
2021-08-02,34.52
2021-08-03,34.27
2021-08-04,33.61
2021-08-05,33.04
2021-08-06,32.67
2021-08-09,32.22
2021-08-10,31.57
2021-08-11,31.47
2021-08-12,30.82
2021-08-13,30.49
2021-08-16,31.78
2021-08-17,31.22
2021-08-18,30.99
2021-08-19,30.75
2021-08-20,30.77
2021-08-23,31.60
2021-08-24,31.03
2021-08-25,30.81
2021-08-26,30.27
2021-08-27,30.26
2021-08-30,17.48
2021-08-31,17.71
2021-09-01,17.86
2021-09-02,17.18
2021-09-03,17.25
2021-09-07,17.42
2021-09-08,17.60
2021-09-09,17.89
2021-09-10,17.74
2021-09-13,18.24
2021-09-14,18.09
2021-09-15,17.18
2021-09-16,16.92
2021-09-17,16.83
2021-09-20,19.64
2021-09-21,19.44
2021-09-22,19.22
2021-09-23,19.22
2021-09-24,19.25
2021-09-27,20.77
2021-09-28,21.40
2021-09-29,21.14
2021-09-30,20.91
2021-10-01,20.72
2021-10-04,21.29
2021-10-05,21.43
2021-10-06,21.28
2021-10-07,21.55
2021-10-08,21.44
2021-10-11,21.65
2021-10-12,21.30
2021-10-13,21.18
2021-10-14,21.05
2021-10-15,20.92
2021-10-18,21.32
2021-10-19,20.95
2021-10-20,18.79
2021-10-21,18.61
2021-10-22,19.01
2021-10-25,19.40
2021-10-26,19.85
2021-10-27,18.97
2021-10-28,18.41
2021-10-29,24.34
2021-11-01,24.94
2021-11-02,24.58
2021-11-03,24.48
2021-11-04,24.81
2021-11-05,25.25
2021-11-08,26.15
2021-11-09,26.14
2021-11-10,27.16
2021-11-11,27.66
2021-11-12,28.10
2021-11-15,28.71
2021-11-16,28.25
2021-11-17,28.36
2021-11-18,28.89
2021-11-19,29.25
2021-11-22,30.46
2021-11-23,30.35
2021-11-24,30.56
2021-11-26,31.18
2021-11-29,26.97
2021-11-30,26.84
2021-12-01,26.99
2021-12-02,27.13
2021-12-03,27.84
2021-12-06,28.19
2021-12-07,28.49
2021-12-08,27.95
2021-12-09,27.73
2021-12-10,27.16
