Date,30-Day Mean IV
2020-12-14,33.15
2020-12-15,32.50
2020-12-16,32.63
2020-12-17,31.23
2020-12-18,32.15
2020-12-21,31.96
2020-12-22,31.40
2020-12-23,29.85
2020-12-24,30.51
2020-12-28,34.86
2020-12-29,34.68
2020-12-30,34.49
2020-12-31,34.95
2021-01-04,40.30
2021-01-05,38.85
2021-01-06,40.35
2021-01-07,38.37
2021-01-08,38.48
2021-01-11,41.46
2021-01-12,40.48
2021-01-13,38.73
2021-01-14,39.89
2021-01-15,38.38
2021-01-19,37.43
2021-01-20,38.00
2021-01-21,37.69
2021-01-22,38.40
2021-01-25,39.83
2021-01-26,40.08
2021-01-27,46.18
2021-01-28,42.19
2021-01-29,43.02
2021-02-01,40.35
2021-02-02,36.71
2021-02-03,31.24
2021-02-04,29.43
2021-02-05,27.94
2021-02-08,28.81
2021-02-09,28.75
2021-02-10,28.68
2021-02-11,28.13
2021-02-12,27.12
2021-02-16,28.59
2021-02-17,29.19
2021-02-18,28.37
2021-02-19,28.30
2021-02-22,30.51
2021-02-23,29.98
2021-02-24,30.00
2021-02-25,35.48
2021-02-26,32.05
2021-03-01,27.74
2021-03-02,28.40
2021-03-03,31.87
2021-03-04,33.09
2021-03-05,30.99
2021-03-08,34.01
2021-03-09,30.02
2021-03-10,29.63
2021-03-11,27.73
2021-03-12,28.69
2021-03-15,28.57
2021-03-16,27.29
2021-03-17,27.22
2021-03-18,31.05
2021-03-19,27.13
2021-03-22,25.77
2021-03-23,25.90
2021-03-24,27.13
2021-03-25,28.32
2021-03-26,27.94
2021-03-29,29.49
2021-03-30,30.22
2021-03-31,29.36
2021-04-01,28.02
2021-04-05,29.16
2021-04-06,28.84
2021-04-07,29.31
2021-04-08,28.92
2021-04-09,28.76
2021-04-12,29.58
2021-04-13,31.04
2021-04-14,30.61
2021-04-15,28.89
2021-04-16,29.25
2021-04-19,31.66
2021-04-20,31.93
2021-04-21,31.01
2021-04-22,31.36
2021-04-23,29.32
2021-04-26,32.79
2021-04-27,31.76
2021-04-28,31.25
2021-04-29,29.59
2021-04-30,24.69
2021-05-03,24.72
2021-05-04,26.63
2021-05-05,25.95
2021-05-06,24.74
2021-05-07,23.71
2021-05-10,26.67
2021-05-11,26.90
2021-05-12,31.55
2021-05-13,27.94
2021-05-14,24.23
2021-05-17,26.00
2021-05-18,26.48
2021-05-19,26.33
2021-05-20,24.08
2021-05-21,24.47
2021-05-24,22.47
2021-05-25,22.99
2021-05-26,22.29
2021-05-27,21.93
2021-05-28,21.14
2021-06-01,22.20
2021-06-02,22.13
2021-06-03,22.84
2021-06-04,21.27
2021-06-07,21.00
2021-06-08,21.55
2021-06-09,21.90
2021-06-10,20.98
2021-06-11,20.16
2021-06-14,20.59
2021-06-15,20.66
2021-06-16,21.07
2021-06-17,20.50
2021-06-18,22.24
2021-06-21,22.02
2021-06-22,21.69
2021-06-23,21.04
2021-06-24,21.82
2021-06-25,23.04
2021-06-28,25.63
2021-06-29,26.76
2021-06-30,27.54
2021-07-01,26.97
2021-07-02,27.44
2021-07-06,31.67
2021-07-07,31.82
2021-07-08,32.34
2021-07-09,31.42
2021-07-12,30.80
2021-07-13,30.96
2021-07-14,30.11
2021-07-15,30.25
2021-07-16,30.47
2021-07-19,32.08
2021-07-20,29.96
2021-07-21,29.06
2021-07-22,28.90
2021-07-23,28.50
2021-07-26,29.48
2021-07-27,29.57
2021-07-28,27.71
2021-07-29,26.76
2021-07-30,25.89
2021-08-02,22.55
2021-08-03,22.66
2021-08-04,22.61
2021-08-05,21.21
2021-08-06,20.68
2021-08-09,20.21
2021-08-10,20.64
2021-08-11,21.00
2021-08-12,20.71
2021-08-13,19.79
2021-08-16,20.51
2021-08-17,22.41
2021-08-18,23.75
2021-08-19,23.70
2021-08-20,21.19
2021-08-23,20.52
2021-08-24,20.03
2021-08-25,19.32
