Date,30-Day IV Skew
2020-11-30,0.58
2020-12-01,0.12
2020-12-02,0.35
2020-12-03,0.22
2020-12-04,0.50
2020-12-07,0.25
2020-12-08,-0.81
2020-12-09,0.23
2020-12-10,0.16
2020-12-11,1.85
2020-12-14,1.13
2020-12-15,1.15
2020-12-16,0.91
2020-12-17,1.62
2020-12-18,2.23
2020-12-21,1.27
2020-12-22,1.54
2020-12-23,1.95
2020-12-24,1.48
2020-12-28,0.71
2020-12-29,0.59
2020-12-30,0.92
2020-12-31,0.06
2021-01-04,1.16
2021-01-05,1.71
2021-01-06,1.51
2021-01-07,0.87
2021-01-08,1.60
2021-01-11,2.10
2021-01-12,2.34
2021-01-13,2.08
2021-01-14,2.39
2021-01-15,2.18
2021-01-19,2.26
2021-01-20,1.82
2021-01-21,1.62
2021-01-22,0.47
2021-01-25,-0.95
2021-01-26,-2.04
2021-01-27,
2021-01-28,1.44
2021-01-29,2.79
2021-02-01,1.51
2021-02-02,2.25
2021-02-03,1.64
2021-02-04,2.08
2021-02-05,1.63
2021-02-08,1.97
2021-02-09,2.54
2021-02-10,2.90
2021-02-11,3.17
2021-02-12,3.56
2021-02-16,3.58
2021-02-17,3.61
2021-02-18,3.75
2021-02-19,4.93
2021-02-22,5.75
2021-02-23,5.82
2021-02-24,6.46
2021-02-25,8.54
2021-02-26,7.90
2021-03-01,6.21
2021-03-02,7.48
2021-03-03,10.00
2021-03-04,10.70
2021-03-05,8.25
2021-03-08,9.36
2021-03-09,7.75
2021-03-10,8.03
2021-03-11,8.53
2021-03-12,7.98
2021-03-15,6.30
2021-03-16,7.44
2021-03-17,6.87
2021-03-18,7.69
2021-03-19,6.85
2021-03-22,7.06
2021-03-23,7.27
2021-03-24,7.99
2021-03-25,7.78
2021-03-26,6.99
2021-03-29,7.13
2021-03-30,6.87
2021-03-31,6.90
2021-04-01,5.72
2021-04-05,4.68
2021-04-06,4.59
2021-04-07,4.72
2021-04-08,4.34
2021-04-09,3.38
2021-04-12,4.14
2021-04-13,3.55
2021-04-14,4.92
2021-04-15,4.23
2021-04-16,3.55
2021-04-19,3.96
2021-04-20,2.84
2021-04-21,3.40
2021-04-22,3.36
2021-04-23,2.87
2021-04-26,1.60
2021-04-27,1.26
2021-04-28,2.19
2021-04-29,0.39
2021-04-30,5.44
2021-05-03,4.85
2021-05-04,7.41
2021-05-05,6.76
2021-05-06,5.87
2021-05-07,6.89
2021-05-10,8.02
2021-05-11,7.97
2021-05-12,11.08
2021-05-13,10.41
2021-05-14,9.21
2021-05-17,8.71
2021-05-18,9.75
2021-05-19,9.21
2021-05-20,9.10
2021-05-21,8.63
2021-05-24,7.66
2021-05-25,8.44
2021-05-26,8.63
2021-05-27,8.76
2021-05-28,8.70
2021-06-01,7.80
2021-06-02,7.45
2021-06-03,8.58
2021-06-04,7.23
2021-06-07,7.66
2021-06-08,5.61
2021-06-09,5.50
2021-06-10,4.12
2021-06-11,3.34
2021-06-14,3.79
2021-06-15,3.57
2021-06-16,4.61
2021-06-17,4.77
2021-06-18,4.42
2021-06-21,4.41
2021-06-22,3.26
2021-06-23,3.57
2021-06-24,3.73
2021-06-25,5.98
2021-06-28,4.31
2021-06-29,4.57
2021-06-30,4.71
2021-07-01,4.07
2021-07-02,3.98
2021-07-06,1.20
2021-07-07,
2021-07-08,5.41
2021-07-09,
2021-07-12,
2021-07-13,
2021-07-14,
2021-07-15,5.15
2021-07-16,4.13
2021-07-19,4.95
2021-07-20,3.93
2021-07-21,3.65
2021-07-22,3.91
2021-07-23,3.31
2021-07-26,4.01
2021-07-27,5.68
2021-07-28,5.38
2021-07-29,3.86
2021-07-30,4.90
2021-08-02,4.63
2021-08-03,4.29
2021-08-04,4.26
2021-08-05,3.60
2021-08-06,3.89
2021-08-09,4.85
2021-08-10,4.79
2021-08-11,5.15
2021-08-12,4.88
2021-08-13,4.65
2021-08-16,4.63
2021-08-17,5.66
2021-08-18,6.01
2021-08-19,6.42
2021-08-20,6.60
2021-08-23,6.23
2021-08-24,5.68
2021-08-25,5.59
2021-08-26,5.38
2021-08-27,4.46
2021-08-30,3.42
2021-08-31,4.86
2021-09-01,4.31
2021-09-02,4.20
2021-09-03,5.41
2021-09-07,4.76
2021-09-08,5.34
2021-09-09,5.91
2021-09-10,6.98
2021-09-13,8.53
2021-09-14,8.72
2021-09-15,9.02
2021-09-16,8.06
2021-09-17,8.80
2021-09-20,12.31
2021-09-21,13.84
2021-09-22,12.91
2021-09-23,9.97
2021-09-24,10.06
2021-09-27,9.27
2021-09-28,11.47
2021-09-29,10.58
2021-09-30,11.41
2021-10-01,9.28
2021-10-04,9.90
2021-10-05,9.02
2021-10-06,9.68
2021-10-07,9.13
2021-10-08,9.09
2021-10-11,8.72
2021-10-12,9.96
2021-10-13,8.06
2021-10-14,6.49
2021-10-15,5.76
2021-10-18,4.70
2021-10-19,4.18
2021-10-20,4.68
2021-10-21,4.53
2021-10-22,4.66
2021-10-25,3.25
2021-10-26,4.57
2021-10-27,3.34
2021-10-28,2.30
2021-10-29,3.73
2021-11-01,2.83
2021-11-02,3.40
2021-11-03,2.99
2021-11-04,1.25
2021-11-05,0.36
2021-11-08,0.31
2021-11-09,-0.09
2021-11-10,1.46
2021-11-11,0.61
2021-11-12,0.86
2021-11-15,-0.08
2021-11-16,-0.83
2021-11-17,0.00
2021-11-18,-0.09
2021-11-19,0.64
2021-11-22,0.07
2021-11-23,1.45
2021-11-24,0.78
2021-11-26,4.68
2021-11-29,2.69
2021-11-30,5.58
2021-12-01,6.94
2021-12-02,8.08
2021-12-03,11.06
2021-12-06,9.73
2021-12-07,7.76
2021-12-08,7.14
2021-12-09,8.74
2021-12-10,7.82
2021-12-13,8.49
2021-12-14,8.84
2021-12-15,7.37
2021-12-16,7.66
2021-12-17,8.12
2021-12-20,7.72
2021-12-21,7.16
2021-12-22,6.68
2021-12-23,5.47
2021-12-27,4.94
2021-12-28,4.68
2021-12-29,4.73
2021-12-30,4.15
2021-12-31,4.83
2022-01-03,3.48
2022-01-04,3.25
2022-01-05,4.91
2022-01-06,4.91
2022-01-07,5.37
2022-01-10,6.66
2022-01-11,5.57
2022-01-12,5.41
2022-01-13,5.95
2022-01-14,5.44
2022-01-18,6.21
2022-01-19,5.57
2022-01-20,5.82
2022-01-21,7.35
2022-01-24,10.29
2022-01-25,10.28
2022-01-26,9.99
2022-01-27,10.03
2022-01-28,8.89
2022-01-31,7.96
2022-02-01,7.03
2022-02-02,5.06
2022-02-03,6.73
2022-02-04,6.43
2022-02-07,6.61
2022-02-08,7.92
2022-02-09,6.12
2022-02-10,8.23
2022-02-11,8.82
2022-02-14,9.30
2022-02-15,9.49
2022-02-16,10.15
2022-02-17,9.59
2022-02-18,9.92
2022-02-22,10.79
2022-02-23,10.51
2022-02-24,10.24
2022-02-25,10.96
2022-02-28,10.66
2022-03-01,11.82
2022-03-02,11.79
2022-03-03,11.08
2022-03-04,11.67
2022-03-07,12.28
2022-03-08,12.48
2022-03-09,11.16
2022-03-10,9.43
2022-03-11,8.95
2022-03-14,9.75
2022-03-15,8.39
2022-03-16,9.37
2022-03-17,8.30
2022-03-18,9.93
2022-03-21,8.98
2022-03-22,7.96
2022-03-23,7.33
2022-03-24,6.90
2022-03-25,7.19
2022-03-28,5.94
2022-03-29,5.49
2022-03-30,6.56
2022-03-31,6.06
2022-04-01,6.34
2022-04-04,5.09
2022-04-05,6.56
2022-04-06,7.34
2022-04-07,7.48
2022-04-08,7.48
2022-04-11,7.97
2022-04-12,7.66
2022-04-13,6.38
2022-04-14,6.89
2022-04-18,6.35
2022-04-19,6.13
2022-04-20,6.31
2022-04-21,6.53
2022-04-22,6.84
2022-04-25,7.13
2022-04-26,8.43
2022-04-27,8.12
2022-04-28,9.98
2022-04-29,9.38
2022-05-02,8.91
2022-05-03,9.05
2022-05-04,8.60
2022-05-05,10.52
2022-05-06,10.60
2022-05-09,10.56
2022-05-10,10.71
2022-05-11,10.92
2022-05-12,11.06
2022-05-13,10.13
2022-05-16,10.21
2022-05-17,9.70
2022-05-18,10.80
2022-05-19,9.63
2022-05-20,9.99
2022-05-23,10.16
2022-05-24,10.40
2022-05-25,9.81
2022-05-26,8.76
2022-05-27,8.33
2022-05-31,7.01
2022-06-01,6.04
2022-06-02,5.93
2022-06-03,6.35
2022-06-06,7.31
2022-06-07,6.62
2022-06-08,6.23
2022-06-09,6.91
2022-06-10,8.97
2022-06-13,11.44
2022-06-14,9.65
2022-06-15,8.55
2022-06-16,10.63
2022-06-17,9.18
2022-06-21,8.84
2022-06-22,9.52
2022-06-23,9.64
2022-06-24,
2022-06-27,8.79
2022-06-28,
2022-06-29,9.48
2022-06-30,10.17
2022-07-01,9.80
2022-07-05,9.89
2022-07-06,10.31
2022-07-07,9.69
2022-07-08,9.38
2022-07-11,9.09
2022-07-12,10.52
2022-07-13,9.52
2022-07-14,8.72
2022-07-15,2.38
2022-07-18,8.94
2022-07-19,9.34
2022-07-20,9.45
2022-07-21,9.03
2022-07-22,8.88
2022-07-25,8.66
2022-07-26,8.57
2022-07-27,9.14
2022-07-28,8.13
2022-07-29,7.21
2022-08-01,7.10
2022-08-02,8.39
2022-08-03,8.39
2022-08-04,6.74
2022-08-05,6.94
2022-08-08,8.74
2022-08-09,7.14
2022-08-10,6.06
2022-08-11,8.36
2022-08-12,7.61
2022-08-15,6.56
2022-08-16,6.85
2022-08-17,7.31
2022-08-18,7.85
2022-08-19,7.30
2022-08-22,6.29
2022-08-23,7.67
2022-08-24,7.97
2022-08-25,7.85
2022-08-26,8.69
2022-08-29,8.38
2022-08-30,8.77
2022-08-31,8.29
2022-09-01,8.07
2022-09-02,9.69
2022-09-06,9.09
2022-09-07,9.45
2022-09-08,9.40
2022-09-09,8.94
2022-09-12,9.46
2022-09-13,10.24
2022-09-14,9.52
2022-09-15,9.68
2022-09-16,9.75
2022-09-19,9.59
2022-09-20,9.29
2022-09-21,8.81
2022-09-22,8.45
