Date,30-Day PCR (Volume)
2020-12-01,0.34
2020-12-02,0.31
2020-12-03,1.07
2020-12-04,1.09
2020-12-07,0.34
2020-12-08,0.59
2020-12-09,0.74
2020-12-10,0.34
2020-12-11,0.91
2020-12-14,0.56
2020-12-15,0.44
2020-12-16,0.37
2020-12-17,0.31
2020-12-18,0.41
2020-12-21,0.50
2020-12-22,0.49
2020-12-23,0.92
2020-12-24,0.33
2020-12-28,0.66
2020-12-29,0.80
2020-12-30,1.22
2020-12-31,1.20
2021-01-04,1.94
2021-01-05,0.76
2021-01-06,0.92
2021-01-07,0.58
2021-01-08,1.00
2021-01-11,1.04
2021-01-12,0.49
2021-01-13,0.74
2021-01-14,1.20
2021-01-15,0.65
2021-01-19,0.65
2021-01-20,0.39
2021-01-21,0.54
2021-01-22,0.97
2021-01-25,1.64
2021-01-26,1.17
2021-01-27,4.52
2021-01-28,1.70
2021-01-29,1.88
2021-02-01,1.19
2021-02-02,0.96
2021-02-03,0.61
2021-02-04,0.76
2021-02-05,1.19
2021-02-08,1.47
2021-02-09,2.20
2021-02-10,1.81
2021-02-11,0.97
2021-02-12,1.33
2021-02-16,0.95
2021-02-17,0.67
2021-02-18,0.85
2021-02-19,1.52
2021-02-22,1.04
2021-02-23,0.57
2021-02-24,0.53
2021-02-25,1.57
2021-02-26,1.59
2021-03-01,1.30
2021-03-02,1.57
2021-03-03,1.51
2021-03-04,0.96
2021-03-05,1.53
2021-03-08,1.13
2021-03-09,1.15
2021-03-10,1.81
2021-03-11,1.46
2021-03-12,0.79
2021-03-15,0.81
2021-03-16,0.89
2021-03-17,0.66
2021-03-18,0.82
2021-03-19,0.32
2021-03-22,0.76
2021-03-23,1.59
2021-03-24,0.76
2021-03-25,0.79
2021-03-26,0.69
2021-03-29,0.87
2021-03-30,1.17
2021-03-31,1.12
2021-04-01,1.32
2021-04-05,0.62
2021-04-06,1.32
2021-04-07,1.01
2021-04-08,0.67
2021-04-09,0.97
2021-04-12,0.84
2021-04-13,0.94
2021-04-14,0.80
2021-04-15,0.72
2021-04-16,0.77
2021-04-19,0.76
2021-04-20,0.65
2021-04-21,0.54
2021-04-22,0.86
2021-04-23,0.50
2021-04-26,0.44
2021-04-27,0.87
2021-04-28,0.85
2021-04-29,0.40
2021-04-30,0.88
2021-05-03,1.38
2021-05-04,1.13
2021-05-05,1.61
2021-05-06,0.83
2021-05-07,1.01
2021-05-10,0.79
2021-05-11,1.16
2021-05-12,0.84
2021-05-13,0.55
2021-05-14,1.07
2021-05-17,0.69
2021-05-18,0.74
2021-05-19,0.62
2021-05-20,0.47
2021-05-21,0.64
2021-05-24,0.72
2021-05-25,0.95
2021-05-26,0.78
2021-05-27,1.11
2021-05-28,1.30
2021-06-01,1.14
2021-06-02,1.36
2021-06-03,1.18
2021-06-04,0.78
2021-06-07,2.70
2021-06-08,1.07
2021-06-09,1.07
2021-06-10,1.62
2021-06-11,0.73
2021-06-14,0.81
2021-06-15,0.58
2021-06-16,0.43
2021-06-17,0.57
2021-06-18,0.36
2021-06-21,1.34
2021-06-22,0.35
2021-06-23,1.04
2021-06-24,0.73
2021-06-25,0.94
2021-06-28,0.66
2021-06-29,1.03
2021-06-30,0.96
2021-07-01,1.15
2021-07-02,0.87
2021-07-06,0.64
2021-07-07,0.79
2021-07-08,1.39
2021-07-09,0.93
2021-07-12,2.47
2021-07-13,3.21
2021-07-14,0.71
2021-07-15,0.42
2021-07-16,0.95
2021-07-19,0.83
2021-07-20,0.86
2021-07-21,1.06
2021-07-22,0.78
2021-07-23,0.75
2021-07-26,0.97
2021-07-27,1.55
2021-07-28,0.23
2021-07-29,0.71
2021-07-30,0.57
2021-08-02,0.79
2021-08-03,0.75
2021-08-04,1.42
2021-08-05,2.16
2021-08-06,1.62
2021-08-09,2.01
2021-08-10,1.08
2021-08-11,1.00
2021-08-12,0.90
2021-08-13,1.06
2021-08-16,0.90
2021-08-17,0.69
2021-08-18,0.88
2021-08-19,0.80
2021-08-20,1.31
2021-08-23,1.61
2021-08-24,1.36
2021-08-25,1.33
2021-08-26,1.64
2021-08-27,2.04
2021-08-30,1.24
2021-08-31,1.24
2021-09-01,1.79
2021-09-02,1.50
2021-09-03,1.50
2021-09-07,1.87
2021-09-08,1.46
2021-09-09,2.15
2021-09-10,2.13
2021-09-13,1.17
2021-09-14,0.66
2021-09-15,0.54
2021-09-16,0.82
2021-09-17,0.94
2021-09-20,1.01
2021-09-21,1.20
2021-09-22,1.27
2021-09-23,0.89
2021-09-24,1.40
2021-09-27,0.50
2021-09-28,0.85
2021-09-29,0.56
2021-09-30,1.31
2021-10-01,0.96
2021-10-04,1.02
2021-10-05,0.58
2021-10-06,0.77
2021-10-07,0.66
2021-10-08,1.11
2021-10-11,1.36
2021-10-12,0.41
2021-10-13,1.36
2021-10-14,0.98
2021-10-15,0.61
2021-10-18,1.26
2021-10-19,0.94
2021-10-20,0.65
2021-10-21,1.24
2021-10-22,0.98
2021-10-25,1.03
2021-10-26,0.87
2021-10-27,1.31
2021-10-28,1.24
2021-10-29,1.13
2021-11-01,1.07
2021-11-02,0.74
2021-11-03,0.72
2021-11-04,0.49
2021-11-05,0.49
2021-11-08,0.76
2021-11-09,0.54
2021-11-10,0.72
2021-11-11,0.78
2021-11-12,1.13
2021-11-15,0.71
2021-11-16,1.05
2021-11-17,0.65
2021-11-18,0.57
2021-11-19,0.88
2021-11-22,0.72
2021-11-23,0.71
2021-11-24,0.70
2021-11-26,0.59
2021-11-29,0.38
2021-11-30,0.44
2021-12-01,0.29
2021-12-02,0.39
2021-12-03,0.63
2021-12-06,0.32
2021-12-07,0.28
2021-12-08,1.16
2021-12-09,0.80
2021-12-10,0.87
2021-12-13,0.69
2021-12-14,0.70
2021-12-15,0.79
2021-12-16,0.29
2021-12-17,0.42
2021-12-20,0.72
2021-12-21,0.41
2021-12-22,0.80
2021-12-23,0.90
2021-12-27,0.87
2021-12-28,0.48
2021-12-29,0.72
2021-12-30,0.55
2021-12-31,0.89
2022-01-03,0.84
2022-01-04,0.97
2022-01-05,1.17
2022-01-06,0.96
2022-01-07,0.79
2022-01-10,0.46
2022-01-11,1.24
2022-01-12,0.60
2022-01-13,1.46
2022-01-14,1.08
2022-01-18,1.17
2022-01-19,1.14
2022-01-20,1.34
2022-01-21,1.07
2022-01-24,0.99
2022-01-25,0.90
2022-01-26,0.94
2022-01-27,0.87
2022-01-28,0.61
2022-01-31,0.95
2022-02-01,1.11
2022-02-02,0.30
2022-02-03,0.42
2022-02-04,1.23
2022-02-07,0.96
2022-02-08,1.17
2022-02-09,0.95
2022-02-10,1.12
2022-02-11,2.04
2022-02-14,1.11
2022-02-15,0.86
2022-02-16,0.84
2022-02-17,1.32
2022-02-18,0.95
2022-02-22,0.97
2022-02-23,0.91
2022-02-24,0.96
2022-02-25,1.11
2022-02-28,0.96
2022-03-01,1.27
2022-03-02,1.27
2022-03-03,0.44
2022-03-04,1.50
2022-03-07,1.90
2022-03-08,0.87
2022-03-09,0.61
2022-03-10,0.64
2022-03-11,1.19
2022-03-14,1.22
2022-03-15,0.59
2022-03-16,1.15
2022-03-17,1.31
2022-03-18,1.05
2022-03-21,1.63
2022-03-22,0.79
2022-03-23,1.24
2022-03-24,0.87
2022-03-25,0.76
2022-03-28,0.92
2022-03-29,0.93
2022-03-30,1.71
2022-03-31,1.51
2022-04-01,0.47
2022-04-04,1.04
2022-04-05,0.72
2022-04-06,0.42
2022-04-07,0.83
2022-04-08,0.53
2022-04-11,0.45
2022-04-12,0.91
2022-04-13,0.82
2022-04-14,0.75
2022-04-18,0.69
2022-04-19,0.80
2022-04-20,0.74
2022-04-21,0.84
2022-04-22,0.88
2022-04-25,0.51
